news_id,category,title,event_type,direction,magnitude,is_expected,affected_tickers,scope,note
15298,TW,〈台股盤後〉季線成反壓 尾盤翻黑收跌24點 月線中止連5紅跌833點,other,negative,1,true,,TW,Sonnet/Opus 不一致，Claude 依 system.md 裁定；待人工覆核
29274,TW,維田估Q2營運漸入佳境 全面盤點生產與美國市場應對關稅衝擊,guidance,mixed,2,false,6570,TW,Sonnet/Opus 不一致，Claude 依 system.md 裁定；待人工覆核
82330,US,美政府重啟後數據何時出爐？預期將顯示這些趨勢,macro_rate,neutral,2,true,,US,Opus 草稿
70620,US,特斯拉股價腰斬 馬斯克要員工別賣股票,other,negative,2,false,TSLA,US,Opus 草稿
65912,US,「卡瑪拉慘崩」結束 川普對美股保持沉默,other,negative,1,false,,US,Sonnet/Opus 不一致，Claude 依 system.md 裁定；待人工覆核
81944,US,LinkedIn、IBM高層揭密：AI無法取代的三大關鍵能力！,other,neutral,1,true,,US,Opus 草稿
65865,US,〈財報〉速食需求堅韌 漢堡王母公司Restaurant Brands International營收超出預期,earnings,positive,2,true,QSR,US,Opus 草稿
81910,US,馬斯克同框黃仁勳談太空AI：5年內成最便宜算力來源,product,neutral,1,false,NVDA;TSLA,US,Sonnet/Opus 不一致，Claude 依 system.md 裁定；待人工覆核
64608,US,華爾街大空頭被告了！美證交會、司法部控香櫞資本涉嫌詐欺 不法獲利逾6億,legal,neutral,2,false,,US,Sonnet/Opus 不一致，Claude 依 system.md 裁定；待人工覆核
82212,US,女股神連四日大幅減碼 特斯拉狂瀉近7%,other,negative,4,false,TSLA,US,Opus 草稿
71844,US,川普暫停關稅90日後 比特幣漲逾7% 重新站回8萬美元以上,regulation,positive,5,false,MSTR;HOOD;COIN,US,Opus 草稿
64538,US,Fed決策公布在即 高盛CEO改變利率預測,macro_rate,neutral,1,true,,US,Opus 草稿
70483,US,特斯拉下挫近6% 連五日大好漲勢中斷,earnings,negative,4,false,TSLA,US,Opus 草稿
71800,US,川普挑戰獨立機構解雇權 鮑爾去留可能牽動其中,regulation,negative,2,false,,US,Sonnet/Opus 不一致，Claude 依 system.md 裁定；待人工覆核
81830,US,Fed柯林斯：利率「暫時適宜」 再降息需見就業明顯轉弱,macro_rate,negative,2,true,,US,Sonnet/Opus 不一致，Claude 依 system.md 裁定；待人工覆核
71930,US,特斯拉恐受波及 傳馬斯克向川普求情降關稅不果,regulation,negative,3,false,TSLA;AAPL,US,Opus 草稿
70714,US,攜手通義千問、開源加速創新 蘇姿丰AMD AI PC峰會重點一次看,product,positive,1,true,AMD,US,Opus 草稿
65845,US,英特爾股票狂跌後CEO大筆買入 但這可能不是你想的看漲信號？,other,neutral,1,true,INTC,US,Opus 草稿
82033,US,美股年末行情受挫：科技股失速 資金輪動至防禦性板塊,other,negative,1,true,,US,Sonnet/Opus 不一致，Claude 依 system.md 裁定；待人工覆核
71972,US,〈美對等關稅〉特斯拉盤前挫近9%領跌7巨頭！專家：當前拋售潮與1987年崩盤數據驚人相似,regulation,negative,5,false,TSLA;NVDA;AMZN;META;AAPL;MSFT;GOOGL,US,Opus 草稿
81900,US,孤獨的AI空頭！為何有分析師勇敢下調亞馬遜與微軟評級？,guidance,negative,2,false,AMZN;MSFT,US,Opus 草稿
70476,US,Fed官員憂關稅對通膨影響「恐非暫時性」 利率可能持平一段時間,macro_rate,negative,2,true,,US,Sonnet/Opus 不一致，Claude 依 system.md 裁定；待人工覆核
106252,GLOBAL,印度央行降息並暗示進一步寬鬆 以應對美國關稅衝擊,macro_rate,neutral,1,true,,GLOBAL,Opus 草稿
106141,GLOBAL,貿易戰再起 新興市場債券還能投資嗎？,other,neutral,1,true,,GLOBAL,Opus 草稿
110940,GLOBAL,美政府結束停擺 數據不確定性仍高 黃金有望創1個月最佳單周表現,macro_rate,neutral,1,true,,GLOBAL,Sonnet/Opus 不一致，Claude 依 system.md 裁定；待人工覆核
105333,GLOBAL,美國財長：貿易夥伴可透過降低貿易壁壘避免4月加徵關稅,regulation,mixed,2,true,,US,Sonnet/Opus 不一致，Claude 依 system.md 裁定；待人工覆核
100883,GLOBAL,幣圈陷「極度恐慌」！市值失守2兆美元 比特幣跌破5萬美元 以太幣腰斬,other,negative,3,false,,GLOBAL,Sonnet/Opus 不一致，Claude 依 system.md 裁定；待人工覆核
100846,GLOBAL,中國前7個月貨物貿易進出口總值人民幣24.83兆 年增6.2%,macro_rate,positive,2,true,,GLOBAL,Sonnet/Opus 不一致，Claude 依 system.md 裁定；待人工覆核
106178,GLOBAL,調整製造布局 意法半導體3年內要裁2800人,other,mixed,2,false,STM,GLOBAL,Sonnet/Opus 不一致，Claude 依 system.md 裁定；待人工覆核
100798,GLOBAL,OpenAI支持的人形機器人Figure 02發表 深度學習力引關注,product,neutral,1,false,,GLOBAL,Sonnet/Opus 不一致，Claude 依 system.md 裁定；待人工覆核
99692,GLOBAL,32小時央行大戰籠罩市場 交易員繃緊神經,macro_rate,mixed,2,true,,GLOBAL,Opus 草稿
99602,GLOBAL,鉅亨速報 - Factset 最新調查：默克藥廠(MRK-US)EPS預估下修至8.03元，預估目標價為142.00元,guidance,negative,1,true,MRK,US,Opus 草稿
105064,GLOBAL,中國首發特別國債 為四大國銀注資人民幣5000億元,macro_rate,positive,2,true,,GLOBAL,Opus 草稿
110809,GLOBAL,川普稱將或改2026世界杯賽事舉辦地！法律專家：他沒有權力,other,neutral,1,false,,US,Sonnet/Opus 不一致，Claude 依 system.md 裁定；待人工覆核
105249,GLOBAL,〈紐約匯市〉美元兌歐元周線收高 投資人獲利了結,macro_rate,neutral,1,true,,GLOBAL,Opus 草稿
110822,GLOBAL,中國9月減持5億美元美債 今年來第五次減碼,macro_rate,neutral,1,true,,GLOBAL,Opus 草稿
106133,GLOBAL,"普丁宣布：未來10年投入1,000億美元 用於海軍艦船建造",geopolitics,neutral,1,false,,GLOBAL,Opus 草稿
110762,GLOBAL,比特幣跌破8.7萬美元創6個月新低 大戶9月來已賣出200億美元,other,negative,3,false,,GLOBAL,Sonnet/Opus 不一致，Claude 依 system.md 裁定；待人工覆核
100925,GLOBAL,中國7月財新服務業PMI升至52.1 就業重回擴張,macro_rate,mixed,2,true,,GLOBAL,Opus 草稿
110953,GLOBAL,〈能源盤後〉Lukoil制裁將生效 原油上漲 唯庫存利空縮限漲幅,regulation,positive,2,true,,GLOBAL,Opus 草稿
100955,GLOBAL,亞股「黑色星期五」 日股寫2020年以來最大盤中跌幅,macro_rate,negative,4,false,,GLOBAL,Opus 草稿
110731,GLOBAL,李彥宏的AI豪賭！廣告業務連6季下滑 百度Q3虧逾112億但AI創收近百億 增速迅猛成亮點,earnings,mixed,3,false,BIDU,GLOBAL,Sonnet/Opus 不一致，Claude 依 system.md 裁定；待人工覆核
